"","id","year","month","day","newsection","new_landmark","fl","w","matureall","fin","scale","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy","date","ym","Julian","date2","Julian2","days_from_hatching"
"1","RRGD","2015","5","8","E1",0,110,"17","nonbreeding","nd","nd",2014,"female","early",NA,0,0,NA,NA,">2",0,NA,"2015-5-8","2015-05",16563,"2014-1-1",16071,492
"2","RRYD","2015","5","8","E1",0,118,"18.899999999999999","nonbreeding","nd","nd",2014,NA,"early",NA,NA,NA,NA,NA,">0",0,NA,"2015-5-8","2015-05",16563,"2014-1-1",16071,492
"3","RGRR","2015","5","8","E1",0,125,"20.100000000000001","nonbreeding","nd","nd",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA,"2015-5-8","2015-05",16563,"2014-1-1",16071,492
"4","RGRY","2015","5","8","E1",0,126,"24.9","nonbreeding","nd","nd",2014,"male","early",NA,1,1,NA,NA,"1",2,"iteroparity","2015-5-8","2015-05",16563,"2014-1-1",16071,492
"5","RGYY","2015","5","8","E1",0,102,"13.7","nonbreeding","nd","nd",2014,NA,NA,NA,0,NA,NA,NA,">1",0,NA,"2015-5-8","2015-05",16563,"2014-1-1",16071,492
"6","RGYD","2015","5","8","E1",0,108,"15.2","nonbreeding","nd","nd",2014,"female",NA,NA,0,NA,1,NA,"3?",1,"semelparity","2015-5-8","2015-05",16563,"2014-1-1",16071,492
"7","RYYY","2015","5","8","E1",0,104,"15.3","nonbreeding","nd","nd",2014,NA,"early",NA,NA,0,NA,NA,">2?",0,NA,"2015-5-8","2015-05",16563,"2014-1-1",16071,492
"8","RYDR","2015","5","8","E1",0,121,"20.100000000000001","nonbreeding","nd","nd",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA,"2015-5-8","2015-05",16563,"2014-1-1",16071,492
"9","R","2015","5","8","E1",0,63,"2.6","nonbreeding","nd","nd",2015,NA,NA,0,NA,NA,NA,NA,">0",0,NA,"2015-5-8","2015-05",16563,"2015-1-1",16436,127
"10","G","2015","5","8","E1",0,59,"2.6","nonbreeding","nd","nd",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA,"2015-5-8","2015-05",16563,"2015-1-1",16436,127
"11","D","2015","5","8","E1",0,54,"1.7","nonbreeding","nd","nd",2015,"male",NA,0,0,NA,NA,NA,">1",0,NA,"2015-5-8","2015-05",16563,"2015-1-1",16436,127
"12","RDDY","2015","5","9","L2",0,197,"91.4","nonbreeding","nd","nd",2014,"female","late",NA,1,NA,NA,NA,"1",1,"semelparity","2015-5-9","2015-05",16564,"2014-1-1",16071,493
"13","GRRR","2015","5","9","L2",0,167,"49.8","nonbreeding","nd","nd",2014,"male","late",NA,1,NA,NA,NA,"1",1,"semelparity","2015-5-9","2015-05",16564,"2014-1-1",16071,493
"14","GRYR","2015","5","9","L2",0,124,"22","nonbreeding","nd","nd",2014,"male","late",NA,0,1,NA,NA,"2",1,"semelparity","2015-5-9","2015-05",16564,"2014-1-1",16071,493
"15","GRDR","2015","5","9","L2",0,88,"9","nonbreeding","nd","nd",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA,"2015-5-9","2015-05",16564,"2014-1-1",16071,493
"16","branchindlR","2015","5","9","L2",0,64,"2.8","nonbreeding","nd","nd",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA,"2015-5-9","2015-05",16564,"2015-1-1",16436,128
"17","branchndlG","2015","5","9","L2",0,62,"3","nonbreeding","nd","nd",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA,"2015-5-9","2015-05",16564,"2015-1-1",16436,128
