"","id","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy"
"1","RRRR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2","RRRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"3","RRRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"4","RRRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"5","RRGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"6","RRGY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"7","RRGG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"8","RRYR",2015,"male","early",1,1,NA,NA,NA,"0",2,"iteroparity"
"9","RRYG",2014,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"10","RRGD",2014,"female","early",NA,0,0,NA,NA,">2",0,NA
"11","RRYY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"12","RRYD",2014,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"13","RRDR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"14","RRDG",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"15","RRDY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"16","RRDD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"17","RGRR",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"18","RGRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"19","RGRY",2014,"male","early",NA,1,1,NA,NA,"1",2,"iteroparity"
"20","RGRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"21","RGGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"22","RGGG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"23","RGGY",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"24","RGGD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"25","RGYR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"26","RGYG",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"27","RGYY",2014,NA,NA,NA,0,NA,NA,NA,">1",0,NA
"28","RGYD",2014,"female",NA,NA,0,NA,1,NA,"3?",1,"semelparity"
"29","RGDR",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"30","RGDG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"31","RGDY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"32","RGDD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"33","RYRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"34","RYRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"35","RYRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"36","RYRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"37","RYGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"38","RYGG",2015,"female",NA,NA,1,1,NA,NA,"1",2,"iteroparity"
"39","RYGY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"40","RYYR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"41","RYGD",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"42","RYYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"43","RYYY",2014,NA,"early",NA,NA,0,NA,NA,">2?",0,NA
"44","RYYD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"45","RYDR",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"46","RYDG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"47","R",2015,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"48","G",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"49","Y",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"50","D",2015,"male",NA,0,0,NA,NA,NA,">1",0,NA
"51","RYDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"52","RYDD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"53","RDRR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"54","RDRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"55","RDRY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"56","RDRD",2014,"male",NA,NA,NA,NA,1,NA,"3?",1,"semelparity"
"57","RDGR",2014,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"58","RDGG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"59","RDGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"60","RDGD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"61","RDYR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"62","RDYG",2015,"male","late",0,0,NA,NA,NA,">1",0,NA
"63","RDYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"64","RDYD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"65","RDDR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"66","RDDG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"67","RDDY",2014,"female","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"68","RDDD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"69","tailR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"70","tailG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"71","tailY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"72","GRRR",2014,"male","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"73","GRRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"74","GRRY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"75","GRRD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"76","GRGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"77","GRGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"78","GRGY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"79","GRGD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"80","GRYR",2014,"male","late",NA,0,1,NA,NA,"2",1,"semelparity"
"81","GRYG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"82","GRYY",2015,"male","late",NA,NA,1,NA,NA,"2?",1,"semelparity"
"83","GRYD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"84","GRDR",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"85","GRDG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"86","tailD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"87","branchindlR",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"88","branchndlG",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"89","branchindlY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"90","GRDY",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"91","GRDD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"92","GGRR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"93","GGRG",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"94","GGRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"95","GGRD",2014,"male","late",NA,0,1,NA,NA,"2",1,"semelparity"
"96","GGGR",2015,"male","late",1,NA,NA,NA,NA,"0",1,"semelparity"
"97","GGGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"98","GGGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"99","GGGD",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"100","GGYR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"101","GGYG",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"102","GGYD",2015,"female",NA,NA,NA,1,NA,NA,"2?",1,"semelparity"
"103","GGDR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"104","GGDG",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"105","GGDY",2014,"female","late",NA,0,0,1,NA,"3",1,"semelparity"
"106","GGDD",2014,"female","early",NA,0,1,NA,NA,"2",1,"semelparity"
"107","GYRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"108","GYRG",2015,"male","late",1,NA,NA,NA,NA,"0",1,"semelparity"
"109","GYRY",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"110","GYRD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"111","GYGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"112","GYGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"113","GYGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"114","GYGD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"115","GYYR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"116","GYYG",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"117","GYYY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"118","GYYD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"119","GYDR",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"120","GYDG",NA,"female",NA,NA,NA,NA,NA,NA,">0",0,NA
"121","GYDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"122","GYDD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"123","GDRR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"124","GDRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"125","GDRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"126","GDRD",2014,"female","late",NA,1,1,NA,NA,"1",2,"iteroparity"
"127","GDGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"128","RR",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"129","RG",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"130","RY",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"131","RD",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"132","GR",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"133","GG",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"134","YRRR",2014,NA,NA,NA,0,NA,NA,NA,">1",0,NA
"135","YRRY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"136","YRRD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"137","YRYR",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"138","YRYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"139","YRDR",2014,"male?","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"140","YRDY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"141","YRDD",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"142","YYRR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"143","YYRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"144","YY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"145","YD",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"146","DY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"147","DD",2015,"male",NA,0,1,NA,NA,NA,"1",1,"semelparity"
"148","caudalYY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"149","caudalYD",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"150","caudalDY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"151","caudalDD",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"152","analYY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"153","YYRD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"154","YYGR",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"155","YYGG",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"156","YYGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"157","YYGD",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"158","YYYR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"159","YYYG",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"160","YYYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"161","YYYD",2015,"male","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"162","YYDR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"163","YYDG",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"164","YYDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"165","YYDD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"166","YDRR",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"167","YDRG",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"168","YDRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"169","YDRD",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"170","YDGR",2015,"female",NA,NA,1,NA,NA,NA,"1",1,"semelparity"
"171","YDGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"172","YDGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"173","YG",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"174","YDGD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"175","YDYR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"176","YDYG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"177","RRRRRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"178","RRRRRG",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"179","RRRRRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"180","RRRRRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"181","RRRRGR",NA,"male",NA,NA,NA,NA,NA,NA,">0",0,NA
"182","RRRRGG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"183","RRRRGY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"184","RRRRGD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"185","RRRRYR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"186","RRRRYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"187","RRRRYY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"188","RRRRYD",2015,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"189","RRRRDR",2015,"female","early",NA,NA,1,NA,NA,"2?",1,"semelparity"
"190","RRRRDG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"191","RRRRDY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"192","RRRRDD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"193","RRRGRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"194","RRRGRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"195","RRRGRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"196","RRRGRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"197","RRRGGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"198","RRRGGG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"199","YDYY",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"200","YDYD",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"201","YDDR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"202","YDDG",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"203","YDDY",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"204","YDDD",2014,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"205","DRRR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"206","DRRG",2014,"male",NA,NA,NA,1,NA,NA,"2?",1,"semelparity"
"207","DRRY",NA,"male",NA,NA,NA,NA,NA,NA,">0",0,NA
"208","DRRD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"209","DRGR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"210","DRGG",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"211","DRGY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"212","DRGD",2015,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"213","DRYR",2014,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"214","DRYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"215","DRYY",2014,"female","early",NA,1,1,1,NA,"1",3,"iteroparity"
"216","DRYD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"217","DRDR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"218","DRDG",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"219","DRDY",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"220","DRDD",2014,"female","early",NA,0,1,NA,NA,"2",1,"semelparity"
"221","DGRR",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"222","DGRG",2014,"male",NA,NA,0,0,NA,NA,">2",0,NA
"223","DGRY",2015,NA,"early",0,0,NA,NA,NA,">1",0,NA
"224","DGRD",2015,"male","early",0,0,1,NA,NA,"2",1,"semelparity"
"225","DGGR",2015,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"226","DGGG",2015,"male","early",0,0,NA,NA,NA,">1",0,NA
"227","DGGY",2014,"male",NA,NA,0,1,NA,NA,"2",1,"semelparity"
"228","DGGD",2014,"female","early",NA,1,1,NA,NA,"1",2,"iteroparity"
"229","DGYR",2014,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"230","DGYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"231","DGYY",2014,"female","early",NA,0,NA,1,NA,"3?",1,"semelparity"
"232","DGYD",2015,NA,"early",0,0,NA,NA,NA,">1",0,NA
"233","DGDR",2015,"male","early",NA,0,1,NA,NA,"2",1,"semelparity"
"234","RRRGGY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"235","RRRGGD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"236","RRRGYR",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"237","RRRGYG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"238","RRRGYY",2014,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"239","RRRGYD",2014,"female","control",NA,NA,1,NA,NA,"2?",1,"semelparity"
"240","RRRGDR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"241","RRRGDG",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"242","RRRGDY",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"243","RRRGDD",2015,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"244","RRRYRR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"245","RRRYRG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"246","RRRYRY",2015,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"247","RRRYRD",2015,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"248","RRRYGR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"249","RRRYGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"250","RRRYGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"251","RRRYGD",2014,"male",NA,NA,1,NA,NA,NA,"1",1,"semelparity"
"252","RRRYYR",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"253","RRRYYG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"254","RRRYYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"255","RRRYYD",2015,"female","late",0,0,NA,NA,NA,">1",0,NA
"256","RRRYDR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"257","RRRYDG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"258","RRRYDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"259","RRRYDD",2015,"female","late",NA,NA,1,NA,NA,"2?",1,"semelparity"
"260","RRRDRR",2015,"female","late",0,NA,1,NA,NA,"2?",1,"semelparity"
"261","RRRDRG",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"262","RRRDRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"263","RRRDRD",2014,"male",NA,NA,NA,1,NA,NA,"2?",1,"semelparity"
"264","RRRDGR",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"265","RRRDGG",2015,"male","late",0,1,NA,NA,NA,"1",1,"semelparity"
"266","RRRDGY",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"267","RRRDGD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"268","RRRDYR",2014,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"269","RRRDYG",2015,"male","late",NA,0,1,NA,NA,"2",1,"semelparity"
"270","RRRDYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"271","RRRDYD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"272","RRRDDR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"273","RRRDDG",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"274","RRRDDY",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"275","RRRDDD",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"276","RRGRRG",2015,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"277","RRGRRR",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"278","RRGRRY",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"279","RRGRRD",2014,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"280","RRGRGR",2014,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"281","RRGRGG",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"282","RRGRGY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"283","RRGRGD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"284","RRGRYR",NA,"male",NA,NA,NA,NA,NA,NA,">0",0,NA
"285","RRGRYG",2014,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"286","RRGRYY",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"287","RRGRYD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"288","RRGRDR",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"289","RRGRDG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"290","RRGRDY",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"291","tailRR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"292","RRGRDD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"293","RRGGRR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"294","RRGGRG",2014,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"295","RRGGRY",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"296","RRGGRD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"297","RRGGGR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"298","RRGGGG",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"299","RRGGGY",2014,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"300","RRGGGD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"301","RRGGYR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"302","RRGGYG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"303","RRGGYY",2015,"male",NA,1,1,1,NA,NA,"0",3,"iteroparity"
"304","RRGGYD",2014,"male","control",NA,0,0,NA,NA,">2",0,NA
"305","tailRG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"306","RRGGDR",2014,"female","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"307","RRGGDG",2015,"male","control",0,1,NA,NA,NA,"1",1,"semelparity"
"308","RRGGDY",2015,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"309","RRGGDD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"310","RRGYRR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"311","RRGYRG",2014,"female","late",NA,0,1,NA,NA,"2",1,"semelparity"
"312","RRGYRY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"313","RRGYRD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"314","RRGYGR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"315","RRGYGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"316","RRGYGY",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"317","RRGYGD",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"318","RRGYYR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"319","RRGYYG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"320","RRGYYY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"321","RRGYYD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"322","RRGYDR",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"323","RRGYDG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"324","RRGYDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"325","RRGYDD",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"326","RRGDRR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"327","RRGDRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"328","RRGDRY",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"329","?G",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"330","RRGDRD",2015,"female","late",NA,0,0,NA,NA,">2",0,NA
"331","RRGDGR",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"332","RRGDGG",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"333","tailRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"334","RRGDGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"335","RRGDGD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"336","RRGDYR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"337","RRGDYG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"338","RRGDYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"339","RRGDYD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"340","RRGDDG",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"341","RRGDDR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"342","RRGDDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"343","RRGDDD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
