"","id","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy"
"2482","982126057496223",2019,NA,NA,NA,1,NA,NA,NA,"1",1,"semelparity"
"2483","982091062776598",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2484","982126057496282",2019,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"2485","982126057496293",2020,"male",NA,1,1,NA,NA,NA,"0",2,"iteroparity"
"2486","982126057496297",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2487","982126057496286",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2488","982091062776593",2020,"male",NA,0,0,NA,1,NA,"3?",1,"semelparity"
"2489","982126057496255",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2490","982126057496268",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"2491","982126057496258",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2492","982091062776599",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2493","982126057496265",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2494","982126057496271",2020,"male",NA,1,NA,NA,NA,NA,"0",1,"semelparity"
"2495","982126057496221",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2496","982126057496210",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2497","982091062776581",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2498","982126057496240",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2499","982091062776572",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2500","982126057496236",2020,NA,NA,0,1,NA,NA,NA,"1",1,"semelparity"
"2501","982091062776723",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2502","982091062776735",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2503","982126057496397",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2504","982091062776586",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2505","982126057496398",2020,"female","control",0,0,1,NA,NA,"2",1,"semelparity"
"2506","982091062776604",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2507","982126057496321",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2508","982126057496382",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2509","982091062776637",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2510","982126057496249",2020,"female?",NA,0,NA,NA,NA,NA,">0",0,NA
"2511","982091062776601",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2512","982126057496319",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2513","982091062776719",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2514","982091062776669",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2515","982091062776619",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2516","982126057496304",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2517","982126057496269",2020,NA,NA,0,1,NA,NA,NA,"1",1,"semelparity"
"2518","982126057496296",2019,NA,NA,NA,1,NA,NA,NA,"1",1,"semelparity"
"2519","982126057496326",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2520","982126057496208",2020,NA,NA,0,0,NA,NA,NA,">1",0,NA
"2521","982126057496222",2020,NA,NA,0,1,NA,NA,NA,"1",1,"semelparity"
"2522","982126057496202",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2523","982126057496362",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2524","982126057496306",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2525","982126057496369",2020,"male","control",1,1,NA,NA,NA,"0",2,"iteroparity"
"2526","982091062776578",2020,NA,NA,0,0,0,NA,NA,">2",0,NA
"2527","982126057496376",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2528","982126057496386",2020,"male","control",1,1,NA,NA,NA,"0",2,"iteroparity"
"2529","982126057496348",2019,NA,NA,NA,0,0,0,NA,">3",0,NA
"2530","982091062776595",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2531","982091062776592",2020,NA,NA,0,0,0,NA,NA,">2",0,NA
"2532","982126057496241",2020,"female",NA,0,1,1,NA,NA,"1",2,"iteroparity"
"2533","982126057496363",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2534","982126057496278",2020,NA,NA,0,0,NA,NA,NA,">1",0,NA
"2535","982126057496401",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2536","982126057496323",2020,"male","control",1,NA,NA,NA,NA,"0",1,"semelparity"
"2537","982126057496204",2018,NA,NA,NA,NA,1,NA,NA,"2?",1,"semelparity"
"2538","982126057496218",2020,"female",NA,0,0,1,NA,NA,"2",1,"semelparity"
"2539","982126057496389",2020,NA,"control",0,1,NA,NA,NA,"1",1,"semelparity"
"2540","982126057496329",2020,"female","control",0,0,NA,1,NA,"3?",1,"semelparity"
"2541","982091062776623",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2542","982091062776614",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2543","982091062776704",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2544","982126057496217",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2545","982126057496391",2020,"female",NA,0,0,NA,NA,NA,">1",0,NA
"2546","982126057496395",2020,"male","control",1,NA,NA,NA,NA,"0",1,"semelparity"
"2547","982091062776574",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2548","982091062776573",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2549","982091062776641",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2550","982091062776622",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2551","982126057496396",2019,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"2552","982126057496349",2019,"female","control",NA,0,1,1,NA,"2",2,"iteroparity"
"2553","982091062776596",2020,"female",NA,0,0,1,NA,NA,"2",1,"semelparity"
"2554","982126057496331",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2555","982126057496381",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2556","982126057496374",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2557","982091062776643",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2558","982126057496313",2020,NA,NA,0,1,NA,NA,NA,"1",1,"semelparity"
"2559","982091062776617",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2560","982126057496351",2019,NA,"control",NA,1,NA,NA,NA,"1",1,"semelparity"
"2561","982126057496332",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2562","982126057496318",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2563","982126057496298",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2564","982126057496387",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2565","982126057496356",2019,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"2566","982126057496380",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2567","982126057496242",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2568","982091062776585",2020,NA,"control",0,0,NA,NA,NA,">1",0,NA
"2569","982091062776703",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2570","982091062776630",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2571","982126057496370",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"2572","982126057496358",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2573","982091062776565",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2574","982126057496206",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2575","982091062776759",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2576","982126057496384",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2577","982091062776640",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2578","982126057496388",2020,"male","control",1,NA,NA,NA,NA,"0",1,"semelparity"
"2579","982091062776567",2020,NA,NA,0,0,NA,NA,NA,">1",0,NA
"2580","982126057496392",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2581","982126057496379",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2582","982091062776597",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2583","982126057496383",2019,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"2584","982091062776678",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"2585","982126057496237",2020,NA,NA,0,1,NA,NA,NA,"1",1,"semelparity"
"2586","982126057496337",2019,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"2587","982126057496227",2020,NA,NA,0,0,0,NA,NA,">2",0,NA
"2588","982091062776709",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2589","982091062776666",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2590","982091062776600",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2591","982091062776610",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2592","982126057496393",2019,NA,"control",NA,1,NA,NA,NA,"1",1,"semelparity"
"2593","982091062776665",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2594","982091062776634",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2595","982126057496372",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2596","982091062776628",2020,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"2597","982091062776695",2020,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"2598","982126057497693",2020,NA,"early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2599","982091066374819",2021,NA,"early",0,NA,0,NA,NA,">2?",0,NA
"2600","982091066374757",2021,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2601","982091066374756",2021,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2602","982091066374746",2021,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2603","982091066374776",2021,"male","early",0,1,NA,NA,NA,"1",1,"semelparity"
"2604","982091066374766",2021,NA,"early",0,0,NA,NA,NA,">1",0,NA
"2605","982126057497678",2020,NA,"early",NA,1,NA,NA,NA,"1",1,"semelparity"
"2606","982091066374769",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"2607","982126057497664",2020,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"2608","982091066374791",2021,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2609","982091066374808",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"2610","982126057497641",2020,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"2611","982091066374830",2021,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"2612","982091066374751",2021,NA,"early",0,NA,NA,NA,NA,">0",0,NA
