"id","ocluster_rename"
"0DDR",2
"0DDY",2
"0DRB",5
"0DRD",6
"0DRG",6
"0DRR",5
"0DRY",6
"0DYD",5
"0DYY",4
"0GBB",6
"0GBD",4
"0GBG",4
"0GBP",6
"0GBR",6
"0GBY",5
"0GDB",5
"0GDD",6
"0GDG",5
"0GDP",5
"0GDR",5
"0GDY",6
"0GGB",4
"0GGD",6
"0GGG",4
"0GGP",6
"0GGR",5
"0GGY",6
"0GPB",6
"0GPD",6
"0GPG",5
"0GPP",3
"0GPY",3
"0GRB",6
"0GRD",5
"0GRG",5
"0GRP",4
"0GRR",3
"0GRY",4
"0GYB",6
"0GYD",5
"0GYG",6
"0GYP",4
"0GYR",6
"0GYY",6
"0RBB",6
"0RBD",4
"0RBG",6
"0RBP",4
"0RBY",4
"0RDB",3
"0RDD",6
"0RDG",5
"0RDP",6
"0RDR",3
"0RDY",5
"0RGB",2
"0RGD",4
"0RGG",4
"0RGP",5
"0RGY",5
"0RPB",3
"0RPD",4
"0RPG",3
"0RPR",3
"0RRB",5
"0RRD",5
"0RRG",6
"0RRR",2
"0RRY",5
"0RYB",5
"0RYD",5
"0RYG",4
"0RYR",6
"0RYY",2
"0YBD",6
"0YBG",6
"0YBR",6
"0YBY",6
"0YDB",3
"0YDD",1
"0YDG",2
"0YDP",5
"0YDR",2
"0YDY",4
"0YGB",4
"0YGD",4
"0YGG",5
"0YGP",4
"0YGR",4
"0YGY",4
"0YPB",6
"0YPD",6
"0YPG",6
"0YPP",5
"0YPR",6
"0YPY",5
"0YRB",4
"0YRD",5
"0YRG",5
"0YRP",2
"0YRR",4
"0YYB",4
"0YYD",2
"0YYG",4
"0YYP",4
"0YYR",6
"0YYY",5
"analYY",6
"BBBB",1
"BBPB",2
"BBPP",6
"BPBB",2
"BPBP",2
"BPPB",1
"BPPP",2
"BPPPBB",1
"BPPPBP",4
"BPPPPP",3
"branchindlR",5
"branchindlY",6
"branchndlG",5
"caudalDD",6
"caudalDY",5
"caudalYD",5
"caudalYY",4
"DDDDDD",4
"DGDR",3
"DGGG",2
"DGRY",4
"DGYD",4
"DY",4
"G",6
"GR",6
"PBBB",4
"PBBBPB",2
"PBBP",4
"PBBPBB",4
"PBBPBP",2
"PBPB",4
"PBPBBB",1
"PBPBBP",1
"PBPP",2
"PBPPBB",2
"PBPPPB",2
"PBPPPP",4
"PPBBPP",2
"PPBPBB",1
"PPBPBP",2
"PPBPPP",2
"PPPBBB",2
"PPPBBP",4
"PPPBPB",4
"PPPBPP",5
"PPPP",2
"PPPPPB",1
"PPPPPP",4
"RGDDDD",2
"RGDDDG",2
"RGDDDR",4
"RGDDDY",2
"RGDDGD",2
"RGDDGG",4
"RGDDGY",2
"RGDDRD",3
"RGDDRG",1
"RGDDRR",5
"RGDDRY",1
"RGDDYD",2
"RGDDYG",4
"RGDDYR",4
"RGDGDD",2
"RGDRGD",2
"RGDRGY",2
"RGDRYY",4
"RGDYDD",4
"RGDYDG",4
"RGDYDR",5
"RGDYDY",1
"RGDYGD",4
"RGDYGY",4
"RGDYRD",2
"RGDYRG",4
"RGDYRR",4
"RGDYYR",2
"RGGDRY",5
"RGGGGG",5
"RGGGRG",4
"RGGGRR",6
"RGGRDD",4
"RGGRGY",4
"RGGRYR",4
"RGGYGR",5
"RGGYRG",4
"RGGYRY",3
"RGGYYR",5
"RGGYYY",6
"RGRDDG",4
"RGRDGY",2
"RGRDYY",3
"RGRGGD",1
"RGRGGG",2
"RGRGGY",4
"RGRGRD",3
"RGRGRG",5
"RGRGRR",1
"RGRRDD",5
"RGRRDG",3
"RGRRGG",2
"RGRRGY",4
"RGRRRD",2
"RGRRRG",3
"RGRRYR",4
"RGYDDY",2
"RGYDGR",2
"RGYDRR",2
"RGYDRY",2
"RGYGDD",1
"RGYGGG",4
"RGYGRY",4
"RGYGYD",4
"RGYGYY",4
"RGYRGG",2
"RGYYGD",2
"RGYYGG",4
"RGYYRR",4
"RGYYRY",2
"RGYYYR",4
"RRDDDG",3
"RRDDGD",4
"RRDDGR",2
"RRDDYG",2
"RRDDYR",4
"RRDGGD",2
"RRDGGR",4
"RRDRDR",2
"RRDRGG",5
"RRDRGY",5
"RRDRYD",1
"RRDYYG",4
"RRDYYR",4
"RRGDDR",3
"RRGDRD",5
"RRGDYR",4
"RRGGDG",4
"RRGYGR",2
"RRRDDG",5
"RRRDGG",2
"RRRDRG",3
"RRRDRR",4
"RRRRDR",3
"RRRRRRG",1
"RRRRYD",4
"RRRYDD",2
"RRRYRD",2
"RRRYRY",2
"RRRYYD",6
"RRY",5
"RRYDGG",6
"RRYDGY",4
"RRYGDD",5
"RRYGGD",4
"RRYGGR",1
"RRYGYR",4
"RRYGYY",3
"RRYRDD",5
"RRYRGY",5
"RRYRRD",3
"RRYRRD?",5
"RRYRRR",1
"RRYRRY",1
"RRYRYG",2
"RRYYDY",6
"RRYYGG",6
"RRYYRG",6
"RRYYRR",5
"RRYYRR?",2
"RRYYYD",4
"RYDDBD",4
"RYDDBP",5
"RYDDBR",6
"RYDDBY",2
"RYDDDD",6
"RYDDDY",6
"RYDDPD",5
"RYDDPG",3
"RYDDPP",5
"RYDDPY",5
"RYDDYD",6
"RYDDYG",6
"RYDDYP",4
"RYDGBD",6
"RYDGGB",2
"RYDGGR",5
"RYDGPB",6
"RYDGPG",2
"RYDGRD",5
"RYDGRR",2
"RYDGYD",2
"RYDRBD",2
"RYDRBP",6
"RYDRBY",4
"RYDRDG",2
"RYDRGG",6
"RYDRGY",3
"RYDRPY",5
"RYDRRB",4
"RYDRRD",2
"RYDRRG",5
"RYDRRP",4
"RYDRRR",4
"RYDRRY",5
"RYDRYD",3
"RYDRYG",6
"RYDRYP",2
"RYDRYY",5
"RYDYBP",4
"RYDYBY",5
"RYDYDG",2
"RYDYGB",6
"RYDYGD",5
"RYDYPG",5
"RYDYPY",5
"RYDYYG",6
"RYDYYR",5
"RYGRDR",3
"RYRBBB",2
"RYRBBD",4
"RYRBBG",5
"RYRBBP",4
"RYRBBR",4
"RYRBBY",5
"RYRBDB",5
"RYRBDD",3
"RYRBDG",3
"RYRBDP",3
"RYRBDR",2
"RYRBDY",1
"RYRBGB",3
"RYRBGD",4
"RYRBGG",4
"RYRBGP",2
"RYRBGY",3
"RYRBPB",4
"RYRBPD",4
"RYRBPG",5
"RYRBPP",4
"RYRBPR",4
"RYRBRB",5
"RYRBRD",4
"RYRBRG",5
"RYRBRP",2
"RYRBRR",4
"RYRBYB",5
"RYRBYD",4
"RYRBYG",6
"RYRBYP",3
"RYRBYR",5
"RYRBYY",2
"RYRDDD",6
"RYRDDY",3
"RYRDGB",5
"RYRDGR",5
"RYRDGY",5
"RYRDPD",2
"RYRDPG",1
"RYRDPP",3
"RYRDPR",4
"RYRDRB",5
"RYRDRD",3
"RYRDRG",6
"RYRDRP",4
"RYRDRR",2
"RYRDRY",4
"RYRDYD",5
"RYRDYG",3
"RYRDYP",3
"RYRDYR",3
"RYRGDD",6
"RYRGDG",6
"RYRGDR",4
"RYRGDY",6
"RYRGGD",6
"RYRGGG",2
"RYRGGR",6
"RYRGGY",1
"RYRGRD",5
"RYRGRG",6
"RYRGRR",4
"RYRGRY",2
"RYRGYG",5
"RYRGYR",4
"RYRGYY",6
"RYRPBB",2
"RYRPBD",5
"RYRPBG",2
"RYRPBR",2
"RYRPBY",4
"RYRPBYY",2
"RYRPDD",4
"RYRPDG",1
"RYRPDP",2
"RYRPDR",4
"RYRPDY",4
"RYRPGB",2
"RYRPGD",1
"RYRPGG",2
"RYRPGP",2
"RYRPGR",2
"RYRPGY",4
"RYRPPD",4
"RYRPPG",4
"RYRPPP",4
"RYRPPR",2
"RYRPRD",2
"RYRPRG",3
"RYRPRP",4
"RYRPRR",4
"RYRPYB",2
"RYRPYD",1
"RYRPYG",5
"RYRPYP",2
"RYRPYR",4
"RYRPYY",6
"RYRRDD",6
"RYRRDG",4
"RYRRDR",2
"RYRRDY",6
"RYRRGD",5
"RYRRGR",5
"RYRRGR?",5
"RYRRGY",3
"RYRRRR",2
"RYRRRY",5
"RYRRYD",5
"RYRRYR",6
"RYRYBB",5
"RYRYBD",6
"RYRYBG",5
"RYRYBR",6
"RYRYBY",2
"RYRYDD",5
"RYRYDR",5
"RYRYDY",3
"RYRYGD",2
"RYRYGR",5
"RYRYPG",5
"RYRYPP",5
"RYRYPR",5
"RYRYPY",6
"RYRYRD",5
"RYRYRG",5
"RYRYRR",6
"RYRYRY",5
"RYRYYD",5
"RYRYYP",5
"RYRYYR",4
"RYRYYY",4
"RYYBBP",4
"RYYBBR",4
"RYYBDB",2
"RYYBDD",5
"RYYBDR",2
"RYYBGB",2
"RYYBPD",1
"RYYBPG",1
"RYYBPP",1
"RYYBPY",5
"RYYBRB",2
"RYYBYY",4
"RYYDBB",5
"RYYDBD",5
"RYYDBG",5
"RYYDBP",4
"RYYDBR",5
"RYYDBY",4
"RYYDDB",2
"RYYDDD",6
"RYYDDG",6
"RYYDDP",6
"RYYDDR",6
"RYYDGB",4
"RYYDGD",4
"RYYDGP",5
"RYYDGR",5
"RYYDPG",6
"RYYDPP",4
"RYYDPR",5
"RYYDPY",4
"RYYDRB",5
"RYYDRD",5
"RYYDRG",5
"RYYDRP",3
"RYYDRR",3
"RYYDRY",4
"RYYDYG",4
"RYYDYP",6
"RYYDYY",5
"RYYGBB",5
"RYYGDP",5
"RYYGDY",5
"RYYGGB",5
"RYYGGD",4
"RYYGGG",5
"RYYGGY",5
"RYYGPD",3
"RYYGPG",5
"RYYGPR",5
"RYYGPY",5
"RYYGRB",5
"RYYGRD",4
"RYYGRG",5
"RYYGRP",4
"RYYGRR",4
"RYYGRY",6
"RYYGYD",6
"RYYGYG",4
"RYYGYG?",6
"RYYGYP",3
"RYYGYR",6
"RYYPBY",3
"RYYPBY?",6
"RYYPGG",4
"RYYPPPP",4
"RYYPPR",6
"RYYPPY",2
"RYYPRR",6
"RYYPYB",3
"RYYPYY",2
"RYYRBB",4
"RYYRBD",2
"RYYRBG",2
"RYYRBR",3
"RYYRBY",3
"RYYRDB",5
"RYYRDG",3
"RYYRDP",5
"RYYRGD",5
"RYYRGG",3
"RYYRGP",4
"RYYRGR",5
"RYYRGY",2
"RYYRPB",2
"RYYRPD",4
"RYYRPR",4
"RYYRPY",4
"RYYRRD",4
"RYYRRG",4
"RYYRRY",4
"RYYRYD",3
"RYYRYG",1
"RYYRYR",4
"RYYRYY",5
"RYYYBG",5
"RYYYBR",5
"RYYYBY",5
"RYYYDD",2
"RYYYDG",4
"RYYYDR",6
"RYYYGB",5
"RYYYGD",3
"RYYYGG",2
"RYYYGR",5
"RYYYPP",2
"RYYYPR",5
"RYYYRB",4
"RYYYRD",4
"RYYYRP",2
"RYYYRY",3
"RYYYYP",6
"YDRD",3
"YDRG",6
"YDRR",6
"YY",6
"YYDG",3
"YYYD",2
"YYYG",4
"YYYR",4
