"","param","mean","sd","lower","median","upper","Rhat","n.eff","x","group","occasion","CL","TR","id","date","treatment","growth","n"
"1","phi[1,5]",0.452673833,0.230690489256686,0.10894225,0.438575,0.8805937,1,525,"[1,5]",1,5,1,1,11,2017-10-11,"control","1","12"
"2","phi[2,5]",0.868231504,0.114327784381793,0.65888825,0.8852605,0.999993,1.05,113,"[2,5]",2,5,2,1,21,2017-10-11,"control","2","41"
"3","phi[3,5]",0.737217773333333,0.0945327929878481,0.57028285,0.741606,0.8821196,1.01,431,"[3,5]",3,5,3,1,31,2017-10-11,"control","3","43"
"4","phi[4,5]",0.4103398914,0.146190907791199,0.1854292,0.4027285,0.65621295,1,568,"[4,5]",4,5,1,2,12,2017-10-11,"early","1","n = 25"
"5","phi[5,5]",0.644647687333333,0.112581424526099,0.44764085,0.6489085,0.8269119,1.01,471,"[5,5]",5,5,2,2,22,2017-10-11,"early","2","41"
"6","phi[6,5]",0.774550840666667,0.173275019987499,0.47029295,0.7807115,0.99995815,1.25,49,"[6,5]",6,5,3,2,32,2017-10-11,"early","3","22"
"7","phi[7,5]",0.8159319936,0.21247377888657,0.35222905,0.8999625,0.9999911,1.05,384,"[7,5]",7,5,1,3,13,2017-10-11,"late","1","10"
"8","phi[8,5]",0.827822084,0.162140329624734,0.51366025,0.8665025,0.999995,1.03,189,"[8,5]",8,5,2,3,23,2017-10-11,"late","2","26"
"9","phi[9,5]",0.603906122666667,0.128260318213191,0.3850334,0.6046585,0.81000965,1,231,"[9,5]",9,5,3,3,33,2017-10-11,"late","3","33"
