"id","ocluster_rename"
"0DDR",2
"0DDY",2
"0DRB",4
"0DRD",7
"0DRG",6
"0DRR",5
"0DRY",6
"0DYD",6
"0DYY",3
"0GBB",4
"0GBD",3
"0GBG",3
"0GBP",6
"0GBR",6
"0GBY",5
"0GDB",5
"0GDD",6
"0GDG",5
"0GDP",5
"0GDR",4
"0GDY",5
"0GGB",3
"0GGD",7
"0GGG",3
"0GGP",6
"0GGR",5
"0GGY",6
"0GPB",4
"0GPD",7
"0GPG",5
"0GPP",4
"0GPY",5
"0GRB",6
"0GRD",5
"0GRG",5
"0GRP",3
"0GRR",4
"0GRY",3
"0GYB",6
"0GYD",5
"0GYG",6
"0GYP",3
"0GYR",6
"0GYY",6
"0RBB",5
"0RBD",3
"0RBG",7
"0RBP",3
"0RBY",3
"0RDB",4
"0RDD",4
"0RDG",5
"0RDP",6
"0RDR",4
"0RDY",5
"0RGB",2
"0RGD",3
"0RGG",3
"0RGP",5
"0RGY",4
"0RPB",5
"0RPD",3
"0RPG",4
"0RPR",4
"0RRB",4
"0RRD",5
"0RRG",7
"0RRR",2
"0RRY",4
"0RYB",5
"0RYD",5
"0RYG",3
"0RYR",6
"0RYY",2
"0YBD",7
"0YBG",7
"0YBR",7
"0YBY",7
"0YDB",4
"0YDD",1
"0YDG",2
"0YDP",5
"0YDR",2
"0YDY",3
"0YGB",3
"0YGD",3
"0YGG",5
"0YGP",3
"0YGR",3
"0YGY",3
"0YPB",6
"0YPD",6
"0YPG",7
"0YPP",5
"0YPR",6
"0YPY",4
"0YRB",3
"0YRD",5
"0YRG",5
"0YRP",2
"0YRR",3
"0YYB",3
"0YYD",2
"0YYG",3
"0YYP",3
"0YYR",6
"0YYY",5
"analYY",6
"BBBB",1
"BBPB",2
"BBPP",6
"BPBB",2
"BPBP",2
"BPPB",1
"BPPP",2
"BPPPBB",1
"BPPPBP",3
"BPPPPP",3
"branchindlR",5
"branchindlY",5
"branchndlG",5
"caudalDD",7
"caudalDY",5
"caudalYD",5
"caudalYY",3
"DDDDDD",3
"DGDR",4
"DGGG",2
"DGRY",3
"DGYD",3
"DY",3
"G",5
"GR",6
"PBBB",3
"PBBBPB",2
"PBBP",3
"PBBPBB",3
"PBBPBP",2
"PBPB",3
"PBPBBB",1
"PBPBBP",1
"PBPP",2
"PBPPBB",2
"PBPPPB",2
"PBPPPP",3
"PPBBPP",2
"PPBPBB",1
"PPBPBP",2
"PPBPPP",2
"PPPBBB",2
"PPPBBP",3
"PPPBPB",3
"PPPBPP",5
"PPPP",2
"PPPPPB",1
"PPPPPP",3
"RGDDDD",2
"RGDDDG",2
"RGDDDR",3
"RGDDDY",2
"RGDDGD",2
"RGDDGG",3
"RGDDGY",2
"RGDDRD",4
"RGDDRG",1
"RGDDRR",5
"RGDDRY",1
"RGDDYD",2
"RGDDYG",3
"RGDDYR",4
"RGDGDD",2
"RGDRGD",2
"RGDRGY",2
"RGDRYY",4
"RGDYDD",3
"RGDYDG",3
"RGDYDR",5
"RGDYDY",1
"RGDYGD",3
"RGDYGY",3
"RGDYRD",2
"RGDYRG",3
"RGDYRR",3
"RGDYYR",2
"RGGDRY",5
"RGGGGG",5
"RGGGRG",3
"RGGGRR",6
"RGGRDD",3
"RGGRGY",4
"RGGRYR",3
"RGGYGR",5
"RGGYRG",3
"RGGYRY",4
"RGGYYR",5
"RGGYYY",6
"RGRDDG",3
"RGRDGY",2
"RGRDYY",3
"RGRGGD",1
"RGRGGG",2
"RGRGGY",3
"RGRGRD",3
"RGRGRG",4
"RGRGRR",1
"RGRRDD",5
"RGRRDG",3
"RGRRGG",2
"RGRRGY",3
"RGRRRD",2
"RGRRRG",4
"RGRRYR",4
"RGYDDY",2
"RGYDGR",2
"RGYDRR",2
"RGYDRY",2
"RGYGDD",1
"RGYGGG",3
"RGYGRY",3
"RGYGYD",3
"RGYGYY",3
"RGYRGG",2
"RGYYGD",2
"RGYYGG",3
"RGYYRR",3
"RGYYRY",2
"RGYYYR",3
"RRDDDG",3
"RRDDGD",3
"RRDDGR",2
"RRDDYG",2
"RRDDYR",4
"RRDGGD",2
"RRDGGR",3
"RRDRDR",2
"RRDRGG",4
"RRDRGY",4
"RRDRYD",1
"RRDYYG",3
"RRDYYR",3
"RRGDDR",3
"RRGDRD",5
"RRGDYR",3
"RRGGDG",4
"RRGYGR",2
"RRRDDG",4
"RRRDGG",2
"RRRDRG",4
"RRRDRR",3
"RRRRDR",4
"RRRRRRG",1
"RRRRYD",3
"RRRYDD",2
"RRRYRD",2
"RRRYRY",2
"RRRYYD",6
"RRY",5
"RRYDGG",6
"RRYDGY",3
"RRYGDD",5
"RRYGGD",4
"RRYGGR",1
"RRYGYR",3
"RRYGYY",3
"RRYRDD",5
"RRYRGY",4
"RRYRRD",3
"RRYRRD?",5
"RRYRRR",1
"RRYRRY",1
"RRYRYG",2
"RRYYDY",6
"RRYYGG",6
"RRYYRG",6
"RRYYRR",5
"RRYYRR?",2
"RRYYYD",3
"RYDDBD",3
"RYDDBP",5
"RYDDBR",6
"RYDDBY",2
"RYDDDD",6
"RYDDDY",6
"RYDDPD",6
"RYDDPG",2
"RYDDPP",5
"RYDDPY",6
"RYDDYD",6
"RYDDYG",6
"RYDDYP",3
"RYDGBD",6
"RYDGGB",2
"RYDGGR",5
"RYDGPB",6
"RYDGPG",2
"RYDGRD",5
"RYDGRR",2
"RYDGYD",2
"RYDRBD",2
"RYDRBP",6
"RYDRBY",3
"RYDRDG",2
"RYDRGG",5
"RYDRGY",4
"RYDRPY",5
"RYDRRB",3
"RYDRRD",2
"RYDRRG",5
"RYDRRP",3
"RYDRRR",3
"RYDRRY",5
"RYDRYD",4
"RYDRYG",6
"RYDRYP",2
"RYDRYY",5
"RYDYBP",4
"RYDYBY",6
"RYDYDG",2
"RYDYGB",6
"RYDYGD",5
"RYDYPG",5
"RYDYPY",5
"RYDYYG",6
"RYDYYR",5
"RYGRDR",5
"RYRBBB",2
"RYRBBD",3
"RYRBBG",4
"RYRBBP",3
"RYRBBR",3
"RYRBBY",5
"RYRBDB",5
"RYRBDD",4
"RYRBDG",4
"RYRBDP",4
"RYRBDR",2
"RYRBDY",1
"RYRBGB",5
"RYRBGD",3
"RYRBGG",4
"RYRBGP",2
"RYRBGY",3
"RYRBPB",3
"RYRBPD",3
"RYRBPG",5
"RYRBPP",4
"RYRBPR",3
"RYRBRB",5
"RYRBRD",3
"RYRBRG",5
"RYRBRP",2
"RYRBRR",3
"RYRBYB",5
"RYRBYD",3
"RYRBYG",6
"RYRBYP",4
"RYRBYR",5
"RYRBYY",2
"RYRDDD",6
"RYRDDY",3
"RYRDGB",5
"RYRDGR",5
"RYRDGY",4
"RYRDPD",2
"RYRDPG",1
"RYRDPP",2
"RYRDPR",3
"RYRDRB",5
"RYRDRD",3
"RYRDRG",6
"RYRDRP",3
"RYRDRR",2
"RYRDRY",4
"RYRDYD",4
"RYRDYG",5
"RYRDYP",3
"RYRDYR",3
"RYRGDD",6
"RYRGDG",6
"RYRGDR",3
"RYRGDY",6
"RYRGGD",6
"RYRGGG",2
"RYRGGR",6
"RYRGGY",1
"RYRGRD",5
"RYRGRG",6
"RYRGRR",3
"RYRGRY",2
"RYRGYG",5
"RYRGYR",3
"RYRGYY",6
"RYRPBB",2
"RYRPBD",4
"RYRPBG",2
"RYRPBR",2
"RYRPBY",3
"RYRPBYY",2
"RYRPDD",3
"RYRPDG",1
"RYRPDP",2
"RYRPDR",3
"RYRPDY",3
"RYRPGB",2
"RYRPGD",1
"RYRPGG",2
"RYRPGP",2
"RYRPGR",2
"RYRPGY",3
"RYRPPD",3
"RYRPPG",3
"RYRPPP",3
"RYRPPR",2
"RYRPRD",2
"RYRPRG",4
"RYRPRP",3
"RYRPRR",3
"RYRPYB",2
"RYRPYD",1
"RYRPYG",5
"RYRPYP",2
"RYRPYR",4
"RYRPYY",6
"RYRRDD",6
"RYRRDG",3
"RYRRDR",2
"RYRRDY",7
"RYRRGD",5
"RYRRGR",5
"RYRRGR?",5
"RYRRGY",4
"RYRRRR",2
"RYRRRY",5
"RYRRYD",5
"RYRRYR",6
"RYRYBB",5
"RYRYBD",6
"RYRYBG",5
"RYRYBR",7
"RYRYBY",2
"RYRYDD",4
"RYRYDR",4
"RYRYDY",5
"RYRYGD",2
"RYRYGR",5
"RYRYPG",4
"RYRYPP",4
"RYRYPR",5
"RYRYPY",6
"RYRYRD",5
"RYRYRG",5
"RYRYRR",6
"RYRYRY",5
"RYRYYD",5
"RYRYYP",4
"RYRYYR",3
"RYRYYY",3
"RYYBBP",3
"RYYBBR",3
"RYYBDB",2
"RYYBDD",5
"RYYBDR",2
"RYYBGB",2
"RYYBPD",1
"RYYBPG",1
"RYYBPP",1
"RYYBPY",3
"RYYBRB",2
"RYYBYY",3
"RYYDBB",5
"RYYDBD",5
"RYYDBG",4
"RYYDBP",3
"RYYDBR",4
"RYYDBY",3
"RYYDDB",2
"RYYDDD",7
"RYYDDG",6
"RYYDDP",6
"RYYDDR",7
"RYYDGB",4
"RYYDGD",3
"RYYDGP",5
"RYYDGR",5
"RYYDPG",6
"RYYDPP",4
"RYYDPR",5
"RYYDPY",3
"RYYDRB",5
"RYYDRD",5
"RYYDRG",4
"RYYDRP",3
"RYYDRR",3
"RYYDRY",3
"RYYDYG",3
"RYYDYP",7
"RYYDYY",5
"RYYGBB",5
"RYYGDP",5
"RYYGDY",5
"RYYGGB",5
"RYYGGD",3
"RYYGGG",6
"RYYGGY",4
"RYYGPD",3
"RYYGPG",5
"RYYGPR",4
"RYYGPY",5
"RYYGRB",5
"RYYGRD",3
"RYYGRG",5
"RYYGRP",2
"RYYGRR",3
"RYYGRY",6
"RYYGYD",6
"RYYGYG",3
"RYYGYG?",7
"RYYGYP",2
"RYYGYR",6
"RYYPBY",4
"RYYPBY?",7
"RYYPGG",4
"RYYPPPP",3
"RYYPPR",6
"RYYPPY",2
"RYYPRR",6
"RYYPYB",2
"RYYPYY",2
"RYYRBB",4
"RYYRBD",2
"RYYRBG",2
"RYYRBR",3
"RYYRBY",4
"RYYRDB",5
"RYYRDG",3
"RYYRDP",4
"RYYRGD",5
"RYYRGG",5
"RYYRGP",3
"RYYRGR",5
"RYYRGY",2
"RYYRPB",2
"RYYRPD",3
"RYYRPR",3
"RYYRPY",3
"RYYRRD",2
"RYYRRG",3
"RYYRRY",3
"RYYRYD",3
"RYYRYG",1
"RYYRYR",4
"RYYRYY",5
"RYYYBG",5
"RYYYBR",5
"RYYYBY",5
"RYYYDD",2
"RYYYDG",4
"RYYYDR",6
"RYYYGB",5
"RYYYGD",3
"RYYYGG",2
"RYYYGR",5
"RYYYPP",2
"RYYYPR",5
"RYYYRB",3
"RYYYRD",3
"RYYYRP",2
"RYYYRY",3
"RYYYYP",6
"YDRD",4
"YDRG",6
"YDRR",7
"YY",6
"YYDG",4
"YYYD",2
"YYYG",3
"YYYR",3
