"","clu","aic","bic"
"1",2,-342.253785039037,-292.480971622729
"2",3,-369.525214317934,-294.865994193473
"3",4,-380.282863213971,-280.737236381356
"4",5,-379.416377055493,-254.984343514724
"5",6,-372.082276532198,-222.763836283276
