"id","ocluster_rename"
"0DDR",1
"0DDY",1
"0DRB",2
"0DRD",2
"0DRG",2
"0DRR",2
"0DRY",2
"0DYD",2
"0DYY",1
"0GBB",2
"0GBD",1
"0GBG",1
"0GBP",2
"0GBR",2
"0GBY",2
"0GDB",2
"0GDD",2
"0GDG",2
"0GDP",2
"0GDR",2
"0GDY",2
"0GGB",1
"0GGD",2
"0GGG",1
"0GGP",2
"0GGR",2
"0GGY",2
"0GPB",2
"0GPD",2
"0GPG",2
"0GPP",1
"0GPY",2
"0GRB",2
"0GRD",2
"0GRG",2
"0GRP",1
"0GRR",2
"0GRY",1
"0GYB",2
"0GYD",2
"0GYG",2
"0GYP",1
"0GYR",2
"0GYY",2
"0RBB",2
"0RBD",1
"0RBG",2
"0RBP",1
"0RBY",1
"0RDB",2
"0RDD",2
"0RDG",2
"0RDP",2
"0RDR",1
"0RDY",2
"0RGB",1
"0RGD",1
"0RGG",1
"0RGP",2
"0RGY",2
"0RPB",2
"0RPD",2
"0RPG",2
"0RPR",2
"0RRB",2
"0RRD",2
"0RRG",2
"0RRR",1
"0RRY",2
"0RYB",2
"0RYD",2
"0RYG",1
"0RYR",2
"0RYY",1
"0YBD",2
"0YBG",2
"0YBR",2
"0YBY",2
"0YDB",1
"0YDD",1
"0YDG",1
"0YDP",2
"0YDR",1
"0YDY",1
"0YGB",1
"0YGD",1
"0YGG",2
"0YGP",1
"0YGR",1
"0YGY",1
"0YPB",2
"0YPD",2
"0YPG",2
"0YPP",2
"0YPR",2
"0YPY",2
"0YRB",1
"0YRD",2
"0YRG",2
"0YRP",1
"0YRR",1
"0YYB",1
"0YYD",1
"0YYG",1
"0YYP",1
"0YYR",2
"0YYY",2
"analYY",2
"BBBB",1
"BBPB",1
"BBPP",2
"BPBB",1
"BPBP",1
"BPPB",1
"BPPP",1
"BPPPBB",1
"BPPPBP",1
"BPPPPP",1
"branchindlR",2
"branchindlY",2
"branchndlG",2
"caudalDD",2
"caudalDY",2
"caudalYD",2
"caudalYY",1
"DDDDDD",1
"DGDR",1
"DGGG",1
"DGRY",1
"DGYD",1
"DY",1
"G",2
"GR",2
"PBBB",1
"PBBBPB",1
"PBBP",1
"PBBPBB",1
"PBBPBP",1
"PBPB",1
"PBPBBB",1
"PBPBBP",1
"PBPP",1
"PBPPBB",1
"PBPPPB",1
"PBPPPP",1
"PPBBPP",1
"PPBPBB",1
"PPBPBP",1
"PPBPPP",1
"PPPBBB",1
"PPPBBP",1
"PPPBPB",1
"PPPBPP",2
"PPPP",1
"PPPPPB",1
"PPPPPP",1
"RGDDDD",1
"RGDDDG",1
"RGDDDR",1
"RGDDDY",1
"RGDDGD",1
"RGDDGG",1
"RGDDGY",1
"RGDDRD",1
"RGDDRG",1
"RGDDRR",2
"RGDDRY",1
"RGDDYD",1
"RGDDYG",1
"RGDDYR",1
"RGDGDD",1
"RGDRGD",1
"RGDRGY",1
"RGDRYY",1
"RGDYDD",1
"RGDYDG",1
"RGDYDR",2
"RGDYDY",1
"RGDYGD",1
"RGDYGY",1
"RGDYRD",1
"RGDYRG",1
"RGDYRR",1
"RGDYYR",1
"RGGDRY",2
"RGGGGG",2
"RGGGRG",1
"RGGGRR",2
"RGGRDD",1
"RGGRGY",1
"RGGRYR",1
"RGGYGR",2
"RGGYRG",1
"RGGYRY",2
"RGGYYR",2
"RGGYYY",2
"RGRDDG",1
"RGRDGY",1
"RGRDYY",1
"RGRGGD",1
"RGRGGG",1
"RGRGGY",1
"RGRGRD",1
"RGRGRG",2
"RGRGRR",1
"RGRRDD",2
"RGRRDG",1
"RGRRGG",1
"RGRRGY",1
"RGRRRD",1
"RGRRRG",1
"RGRRYR",1
"RGYDDY",1
"RGYDGR",1
"RGYDRR",1
"RGYDRY",1
"RGYGDD",1
"RGYGGG",1
"RGYGRY",1
"RGYGYD",1
"RGYGYY",1
"RGYRGG",1
"RGYYGD",1
"RGYYGG",1
"RGYYRR",1
"RGYYRY",1
"RGYYYR",1
"RRDDDG",1
