"id","ocluster_rename"
"0DDR",1
"0DDY",1
"0DRB",3
"0DRD",4
"0DRG",4
"0DRR",3
"0DRY",4
"0DYD",3
"0DYY",2
"0GBB",4
"0GBD",2
"0GBG",2
"0GBP",4
"0GBR",4
"0GBY",3
"0GDB",3
"0GDD",4
"0GDG",3
"0GDP",3
"0GDR",3
"0GDY",4
"0GGB",2
"0GGD",4
"0GGG",2
"0GGP",4
"0GGR",3
"0GGY",4
"0GPB",4
"0GPD",4
"0GPG",3
"0GPP",1
"0GPY",3
"0GRB",4
"0GRD",3
"0GRG",3
"0GRP",2
"0GRR",3
"0GRY",2
"0GYB",4
"0GYD",3
"0GYG",4
"0GYP",2
"0GYR",4
"0GYY",4
"0RBB",4
"0RBD",2
"0RBG",4
"0RBP",2
"0RBY",2
"0RDB",3
"0RDD",4
"0RDG",3
"0RDP",4
"0RDR",2
"0RDY",3
"0RGB",1
"0RGD",2
"0RGG",2
"0RGP",3
"0RGY",3
"0RPB",3
"0RPD",3
"0RPG",4
"0RPR",3
"0RRB",3
"0RRD",3
"0RRG",4
"0RRR",1
"0RRY",3
"0RYB",3
"0RYD",3
"0RYG",2
"0RYR",4
"0RYY",1
"0YBD",4
"0YBG",4
"0YBR",4
"0YBY",4
"0YDB",2
"0YDD",1
"0YDG",1
"0YDP",3
"0YDR",1
"0YDY",2
"0YGB",2
"0YGD",2
"0YGG",3
"0YGP",2
"0YGR",2
"0YGY",2
"0YPB",4
"0YPD",4
"0YPG",4
"0YPP",3
"0YPR",4
"0YPY",3
"0YRB",2
"0YRD",3
"0YRG",3
"0YRP",1
"0YRR",2
"0YYB",2
"0YYD",1
"0YYG",2
"0YYP",2
"0YYR",4
"0YYY",3
"analYY",4
"BBBB",1
"BBPB",2
"BBPP",4
"BPBB",2
"BPBP",1
"BPPB",1
"BPPP",1
"BPPPBB",1
"BPPPBP",2
"BPPPPP",2
"branchindlR",3
"branchindlY",4
"branchndlG",3
"caudalDD",4
"caudalDY",3
"caudalYD",3
"caudalYY",2
"DDDDDD",2
"DGDR",2
"DGGG",1
"DGRY",2
"DGYD",2
"DY",2
"G",4
"GR",4
"PBBB",2
"PBBBPB",1
"PBBP",2
"PBBPBB",2
"PBBPBP",1
"PBPB",2
"PBPBBB",1
"PBPBBP",1
"PBPP",1
"PBPPBB",1
"PBPPPB",1
"PBPPPP",2
"PPBBPP",2
"PPBPBB",1
"PPBPBP",1
"PPBPPP",2
"PPPBBB",2
"PPPBBP",2
"PPPBPB",2
"PPPBPP",3
"PPPP",1
"PPPPPB",1
"PPPPPP",2
"RGDDDD",2
"RGDDDG",2
"RGDDDR",2
"RGDDDY",2
"RGDDGD",1
"RGDDGG",2
"RGDDGY",1
"RGDDRD",2
"RGDDRG",1
"RGDDRR",3
"RGDDRY",1
"RGDDYD",1
"RGDDYG",2
"RGDDYR",2
"RGDGDD",1
"RGDRGD",1
"RGDRGY",1
"RGDRYY",2
"RGDYDD",2
"RGDYDG",2
"RGDYDR",3
"RGDYDY",1
"RGDYGD",2
"RGDYGY",3
"RGDYRD",1
"RGDYRG",2
"RGDYRR",2
"RGDYYR",1
"RGGDRY",3
"RGGGGG",3
"RGGGRG",2
"RGGGRR",4
"RGGRDD",2
"RGGRGY",3
"RGGRYR",2
"RGGYGR",3
"RGGYRG",2
"RGGYRY",3
"RGGYYR",3
"RGGYYY",4
"RGRDDG",2
"RGRDGY",1
"RGRDYY",2
"RGRGGD",1
"RGRGGG",2
"RGRGGY",2
"RGRGRD",2
"RGRGRG",3
"RGRGRR",1
"RGRRDD",3
"RGRRDG",2
"RGRRGG",2
"RGRRGY",2
"RGRRRD",1
"RGRRRG",3
"RGRRYR",2
"RGYDDY",1
"RGYDGR",1
"RGYDRR",1
"RGYDRY",2
"RGYGDD",1
"RGYGGG",2
"RGYGRY",2
"RGYGYD",2
"RGYGYY",2
"RGYRGG",2
"RGYYGD",1
"RGYYGG",2
"RGYYRR",2
"RGYYRY",1
"RGYYYR",2
"RRDDDG",2
