"","treatment","predicted","sd","conf.low","conf.high"
"1","control",0.666666666666667,0.499999999999983,0.428778933543478,0.841992575333928
"2","early",0.941176470569947,1.03076396278413,0.679685851118152,0.991779330381955
"3","late",0.636363636363637,0.443202630213958,0.423347761730442,0.806632707478452
