"id","ocluster_rename"
"0DDR",2
"0DDY",2
"0DRB",4
"0DRD",5
"0DRG",5
"0DRR",4
"0DRY",5
"0DYD",4
"0DYY",3
"0GBB",5
"0GBD",3
"0GBG",3
"0GBP",5
"0GBR",5
"0GBY",4
"0GDB",4
"0GDD",5
"0GDG",4
"0GDP",4
"0GDR",4
"0GDY",4
"0GGB",3
"0GGD",5
"0GGG",3
"0GGP",5
"0GGR",4
"0GGY",5
"0GPB",5
"0GPD",5
"0GPG",4
"0GPP",2
"0GPY",4
"0GRB",5
"0GRD",4
"0GRG",4
"0GRP",3
"0GRR",4
"0GRY",3
"0GYB",4
"0GYD",4
"0GYG",5
"0GYP",3
"0GYR",5
"0GYY",5
"0RBB",4
"0RBD",3
"0RBG",5
"0RBP",3
"0RBY",3
"0RDB",4
"0RDD",5
"0RDG",4
"0RDP",5
"0RDR",3
"0RDY",4
"0RGB",2
"0RGD",3
"0RGG",3
"0RGP",4
"0RGY",4
"0RPB",4
"0RPD",3
"0RPG",4
"0RPR",4
"0RRB",4
"0RRD",4
"0RRG",5
"0RRR",2
"0RRY",4
"0RYB",4
"0RYD",4
"0RYG",3
"0RYR",5
"0RYY",2
"0YBD",5
"0YBG",5
"0YBR",5
"0YBY",5
"0YDB",3
"0YDD",1
"0YDG",2
"0YDP",4
"0YDR",2
"0YDY",3
"0YGB",3
"0YGD",3
"0YGG",4
"0YGP",3
"0YGR",2
"0YGY",3
"0YPB",5
"0YPD",5
"0YPG",5
"0YPP",4
"0YPR",5
"0YPY",4
"0YRB",3
"0YRD",4
"0YRG",4
"0YRP",2
"0YRR",3
"0YYB",3
"0YYD",2
"0YYG",3
"0YYP",3
"0YYR",5
"0YYY",4
"analYY",5
"BBBB",1
"BBPB",2
"BBPP",5
"BPBB",2
"BPBP",2
"BPPB",1
"BPPP",2
"BPPPBB",1
"BPPPBP",3
"BPPPPP",2
"branchindlR",4
"branchindlY",4
"branchndlG",4
"caudalDD",5
"caudalDY",4
"caudalYD",4
"caudalYY",3
"DDDDDD",3
"DGDR",3
"DGGG",2
"DGRY",3
"DGYD",3
"DY",3
"G",4
"GR",5
"PBBB",3
"PBBBPB",2
"PBBP",3
"PBBPBB",3
"PBBPBP",2
"PBPB",3
"PBPBBB",1
"PBPBBP",1
"PBPP",2
"PBPPBB",1
"PBPPPB",2
"PBPPPP",3
"PPBBPP",2
"PPBPBB",1
"PPBPBP",2
"PPBPPP",2
"PPPBBB",2
"PPPBBP",3
"PPPBPB",3
"PPPBPP",4
"PPPP",2
"PPPPPB",1
"PPPPPP",3
"RGDDDD",2
"RGDDDG",2
"RGDDDR",3
"RGDDDY",2
"RGDDGD",2
"RGDDGG",3
"RGDDGY",2
"RGDDRD",2
"RGDDRG",1
"RGDDRR",4
"RGDDRY",1
"RGDDYD",2
"RGDDYG",3
"RGDDYR",3
"RGDGDD",2
"RGDRGD",2
"RGDRGY",2
"RGDRYY",3
"RGDYDD",3
"RGDYDG",3
"RGDYDR",4
"RGDYDY",2
"RGDYGD",3
"RGDYGY",3
"RGDYRD",2
"RGDYRG",3
"RGDYRR",3
"RGDYYR",1
"RGGDRY",4
"RGGGGG",4
"RGGGRG",3
"RGGGRR",5
"RGGRDD",3
"RGGRGY",3
"RGGRYR",3
"RGGYGR",4
"RGGYRG",3
"RGGYRY",4
"RGGYYR",4
"RGGYYY",5
"RGRDDG",3
"RGRDGY",2
"RGRDYY",3
"RGRGGD",1
"RGRGGG",2
"RGRGGY",3
"RGRGRD",3
"RGRGRG",4
"RGRGRR",1
"RGRRDD",4
"RGRRDG",3
"RGRRGG",2
"RGRRGY",3
"RGRRRD",2
"RGRRRG",3
"RGRRYR",3
"RGYDDY",2
"RGYDGR",2
"RGYDRR",2
"RGYDRY",2
"RGYGDD",1
"RGYGGG",3
"RGYGRY",3
"RGYGYD",3
"RGYGYY",3
"RGYRGG",2
"RGYYGD",2
"RGYYGG",3
"RGYYRR",3
"RGYYRY",2
"RGYYYR",3
"RRDDDG",2
"RRDDGD",3
"RRDDGR",2
"RRDDYG",1
"RRDDYR",3
"RRDGGD",2
"RRDGGR",3
"RRDRDR",2
"RRDRGG",4
"RRDRGY",4
"RRDRYD",1
"RRDYYG",3
"RRDYYR",3
"RRGDDR",3
"RRGDRD",4
"RRGDYR",3
"RRGGDG",3
"RRGYGR",2
"RRRDDG",4
"RRRDGG",2
"RRRDRG",3
"RRRDRR",3
"RRRRDR",3
"RRRRRRG",1
"RRRRYD",3
"RRRYDD",2
"RRRYRD",2
"RRRYRY",2
"RRRYYD",5
"RRY",4
"RRYDGG",5
"RRYDGY",3
"RRYGDD",4
"RRYGGD",3
"RRYGGR",1
"RRYGYR",3
"RRYGYY",2
"RRYRDD",4
"RRYRGY",4
"RRYRRD",3
"RRYRRD?",4
"RRYRRR",1
"RRYRRY",1
"RRYRYG",2
"RRYYDY",5
"RRYYGG",5
"RRYYRG",5
"RRYYRR",4
"RRYYRR?",2
"RRYYYD",3
"RYDDBD",3
"RYDDBP",4
"RYDDBR",5
"RYDDBY",2
"RYDDDD",5
"RYDDDY",5
"RYDDPD",4
"RYDDPG",2
"RYDDPP",4
"RYDDPY",4
"RYDDYD",5
"RYDDYG",5
"RYDDYP",3
"RYDGBD",5
"RYDGGB",2
"RYDGGR",4
"RYDGPB",5
"RYDGPG",2
"RYDGRD",4
"RYDGRR",2
"RYDGYD",2
"RYDRBD",2
"RYDRBP",5
"RYDRBY",3
"RYDRDG",2
"RYDRGG",4
"RYDRGY",3
"RYDRPY",4
"RYDRRB",3
"RYDRRD",2
"RYDRRG",4
"RYDRRP",3
"RYDRRR",3
"RYDRRY",4
"RYDRYD",4
"RYDRYG",4
"RYDRYP",2
"RYDRYY",4
"RYDYBP",3
"RYDYBY",4
"RYDYDG",2
"RYDYGB",5
"RYDYGD",4
"RYDYPG",4
"RYDYPY",4
"RYDYYG",5
"RYDYYR",4
"RYGRDR",4
"RYRBBB",2
"RYRBBD",3
"RYRBBG",4
"RYRBBP",3
"RYRBBR",3
"RYRBBY",4
"RYRBDB",4
"RYRBDD",3
"RYRBDG",3
"RYRBDP",3
"RYRBDR",2
"RYRBDY",1
"RYRBGB",4
"RYRBGD",3
"RYRBGG",3
"RYRBGP",2
"RYRBGY",3
"RYRBPB",2
"RYRBPD",3
"RYRBPG",4
"RYRBPP",3
"RYRBPR",2
"RYRBRB",4
"RYRBRD",3
"RYRBRG",3
"RYRBRP",2
"RYRBRR",3
"RYRBYB",4
"RYRBYD",3
"RYRBYG",5
"RYRBYP",3
"RYRBYR",4
"RYRBYY",2
"RYRDDD",5
"RYRDDY",3
"RYRDGB",4
"RYRDGR",4
"RYRDGY",4
"RYRDPD",2
"RYRDPG",1
"RYRDPP",2
"RYRDPR",3
"RYRDRB",4
"RYRDRD",3
"RYRDRG",5
"RYRDRP",3
"RYRDRR",2
"RYRDRY",3
"RYRDYD",4
"RYRDYG",4
"RYRDYP",3
"RYRDYR",3
"RYRGDD",5
"RYRGDG",5
"RYRGDR",3
"RYRGDY",5
"RYRGGD",5
"RYRGGG",2
"RYRGGR",5
"RYRGGY",1
"RYRGRD",4
"RYRGRG",5
"RYRGRR",3
"RYRGRY",2
"RYRGYG",4
"RYRGYR",3
"RYRGYY",4
"RYRPBB",2
"RYRPBD",4
"RYRPBG",2
"RYRPBR",2
"RYRPBY",3
"RYRPBYY",2
"RYRPDD",2
"RYRPDG",1
"RYRPDP",2
"RYRPDR",3
"RYRPDY",3
"RYRPGB",2
"RYRPGD",1
"RYRPGG",1
"RYRPGP",2
"RYRPGR",2
"RYRPGY",3
"RYRPPD",3
"RYRPPG",3
"RYRPPP",3
"RYRPPR",2
"RYRPRD",2
"RYRPRG",3
"RYRPRP",3
"RYRPRR",3
"RYRPYB",2
"RYRPYD",1
"RYRPYG",4
"RYRPYP",2
"RYRPYR",3
"RYRPYY",5
"RYRRDD",4
"RYRRDG",3
"RYRRDR",2
"RYRRDY",5
"RYRRGD",4
"RYRRGR",4
"RYRRGR?",4
"RYRRGY",3
"RYRRRR",2
"RYRRRY",4
"RYRRYD",4
"RYRRYR",5
"RYRYBB",4
"RYRYBD",5
"RYRYBG",4
"RYRYBR",5
"RYRYBY",2
"RYRYDD",4
"RYRYDR",4
"RYRYDY",4
"RYRYGD",2
"RYRYGR",4
"RYRYPG",4
"RYRYPP",4
"RYRYPR",4
"RYRYPY",5
"RYRYRD",4
"RYRYRG",4
"RYRYRR",5
"RYRYRY",4
"RYRYYD",4
"RYRYYP",4
"RYRYYR",3
"RYRYYY",3
"RYYBBP",3
"RYYBBR",3
"RYYBDB",2
"RYYBDD",3
"RYYBDR",2
"RYYBGB",2
"RYYBPD",1
"RYYBPG",1
"RYYBPP",1
"RYYBPY",4
"RYYBRB",2
"RYYBYY",3
"RYYDBB",4
"RYYDBD",4
"RYYDBG",4
"RYYDBP",3
"RYYDBR",4
"RYYDBY",3
"RYYDDB",2
"RYYDDD",5
"RYYDDG",5
"RYYDDP",5
"RYYDDR",5
"RYYDGB",3
"RYYDGD",3
"RYYDGP",4
"RYYDGR",4
"RYYDPG",5
"RYYDPP",3
"RYYDPR",4
"RYYDPY",3
"RYYDRB",4
"RYYDRD",4
"RYYDRG",4
"RYYDRP",2
"RYYDRR",3
"RYYDRY",3
"RYYDYG",3
"RYYDYP",5
"RYYDYY",4
"RYYGBB",4
"RYYGDP",4
"RYYGDY",4
"RYYGGB",4
"RYYGGD",3
"RYYGGG",4
"RYYGGY",4
"RYYGPD",3
"RYYGPG",4
"RYYGPR",4
"RYYGPY",4
"RYYGRB",4
"RYYGRD",3
"RYYGRG",4
"RYYGRP",2
"RYYGRR",3
"RYYGRY",5
"RYYGYD",5
"RYYGYG",3
"RYYGYG?",5
"RYYGYP",2
"RYYGYR",5
"RYYPBY",2
"RYYPBY?",5
"RYYPGG",3
"RYYPPPP",3
"RYYPPR",5
"RYYPPY",2
"RYYPRR",5
"RYYPYB",2
"RYYPYY",2
"RYYRBB",3
"RYYRBD",2
"RYYRBG",2
"RYYRBR",3
"RYYRBY",3
"RYYRDB",4
"RYYRDG",2
"RYYRDP",4
"RYYRGD",4
"RYYRGG",4
"RYYRGP",3
"RYYRGR",4
"RYYRGY",2
"RYYRPB",2
"RYYRPD",3
"RYYRPR",3
"RYYRPY",2
"RYYRRD",2
"RYYRRG",3
"RYYRRY",3
"RYYRYD",3
"RYYRYG",1
"RYYRYR",3
"RYYRYY",4
"RYYYBG",4
"RYYYBR",4
"RYYYBY",4
"RYYYDD",2
"RYYYDG",3
"RYYYDR",5
"RYYYGB",4
"RYYYGD",2
"RYYYGG",2
"RYYYGR",4
"RYYYPP",2
"RYYYPR",4
"RYYYRB",3
"RYYYRD",3
"RYYYRP",2
"RYYYRY",3
"RYYYYP",5
"YDRD",3
"YDRG",5
"YDRR",5
"YY",5
"YYDG",5
"YYYD",2
"YYYG",3
"YYYR",3
