"","growth_cluster","treatment","predicted","sd","conf.low","conf.high"
"1",1,"control,late",0.714611373942413,0.433325319462218,0.517139529630346,0.854107751103454
"2",1,"early",0.904363876292606,0.5922218858206,0.747617863965756,0.96793546272797
"3",2,"control,late",0.100879690684272,0.477264069771453,0.0421721257777909,0.222342391452262
"4",2,"early",0.297612268142691,0.505187933521501,0.13600865763489,0.532816781679849
"5",3,"control,late",0.0193531098813183,1.07151139053715,0.00241055919887653,0.138806829147954
"6",3,"early",0.0693598090926716,1.05828051839898,0.00927828601765715,0.372297410562059
