"","param","mean","sd","lower","median","upper","Rhat","n.eff","x","group","occasion","CL","TR","id","date","treatment","growth","n"
"1","phi[1,8]",0.351001641466667,0.0909234971756919,0.2117957,0.345029,0.5075907,1,1045,"[1,8]",1,8,1,1,11,2017-10-11,"control","1","42"
"2","phi[2,8]",0.617063998666667,0.0941339231696889,0.45485135,0.6182865,0.77105255,1,1003,"[2,8]",2,8,2,1,21,2017-10-11,"control","2","52"
"3","phi[3,8]",0.659744352,0.121134462469048,0.4533932,0.6657225,0.8586859,1,784,"[3,8]",3,8,3,1,31,2017-10-11,"control","3","29"
"4","phi[4,8]",0.412210369333333,0.0927462977563017,0.27229,0.408468,0.5806261,1,966,"[4,8]",4,8,1,2,12,2017-10-11,"early","1","n = 57"
"5","phi[5,8]",0.461214515333333,0.10246226777564,0.29648935,0.461519,0.62788745,1,1168,"[5,8]",5,8,2,2,22,2017-10-11,"early","2","46"
"6","phi[6,8]",0.344086603133333,0.143236980818769,0.1293636,0.33003,0.6041623,1,1116,"[6,8]",6,8,3,2,32,2017-10-11,"early","3","17"
"7","phi[7,8]",0.571737602666667,0.134009205339447,0.34536565,0.5727195,0.7967355,1,1018,"[7,8]",7,8,1,3,13,2017-10-11,"late","1","26"
"8","phi[8,8]",0.594732316666667,0.108093799758243,0.4270603,0.5884585,0.7875716,1.01,1020,"[8,8]",8,8,2,3,23,2017-10-11,"late","2","44"
"9","phi[9,8]",0.161248310066667,0.0810661814312676,0.053530575,0.148902,0.3213908,1,1209,"[9,8]",9,8,3,3,33,2017-10-11,"late","3","26"
